"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
261187;"Kergarvan > Port du Tinduff_21/05/2016_11:00_Ronan ?_5985";261188;"Rade de Brest";"BRES_05";"Kergarvan > Port du Tinduff (Pen A lan)";"11:00";3;;;;;;;;;"";
261189;"L_aiguille (zone interdite)_21/05/2016_13:10_Coline Dumas_480";261190;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_089";"L'aiguille (zone interdite)";"01:10";0;0;0;0;0;;;;;"";
261191;"L_aiguille (zone ouverte)_21/05/2016_10:55_Coline Dumas_579";261192;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_088";"L'aiguille (zone ouverte)";"10:55";0;0;0;0;0;;;;;"";
261193;"L_Esperance_21/05/2016_13:15_Coline Dumas_809";261194;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_090";"L'Espérance";"01:15";0;0;0;0;0;;;;;"";
261195;"La Falaise_21/05/2016_11:00_JP_7661";261196;"Golfe du Morbihan";"GDMO_01";"La falaise";"11:00";86;64;22;86;0;;;;;"";
261199;"Le Cosquer Passage > Kernisi_21/05/2016_11:45_F.Oppermann_5983";261200;"Rade de Brest";"BRES_03";"Le Cosquer Passage > Kernisi (Keraliou)";"11:45";5;;;;;;;;;"";
261201;"Le Peu/Reserve de Moeze_21/05/2016_12:30_MERIEN Julie_4154";261202;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_095";"Le Peu /  Réserve de Moëze";"12:30";0;;;;;;;;;"Conchyliculture";
261203;"Pereire_21/05/2016_11:00_DM_10337";261204;"Bassin d'Arcachon";"BARC_04";"Pereire";"11:00";7;6;1;;;;;;;"Promeneurs, joggeurs | Autres pêches de loisir";
261205;"Perre d_Antiochat_21/05/2016_11:30_Sarah Olivier_3292";261206;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_116";"Perré d'Antiochat";"11:30";11;;;11;0;;;;;"";
261207;"Plage Nord (zone interdite)_21/05/2016_10:50_Coline Dumas_908";261208;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_085";"Plage Nord (zone interdite)";"10:50";0;0;0;0;0;;;;;"";
261209;"Pointe de la Fumee_21/05/2016_11:00_Coline Dumas_1007";261210;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_087";"Pointe de la Fumée";"11:00";59;57;2;54;0;;"Oui";18;"Concessions de cultures marines";"Conchyliculture";
261211;"Pointe du Chay_21/05/2016_11:00_Loeiza Lancelot_3936";261212;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_077";"Pointe du Chay";"11:00";4;;;;;;;;;"";
261215;"Tourlion_21/05/2016_10:55_Coline Dumas_1133";261216;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_086";"Tourlion";"10:55";0;0;0;0;0;;;;;"";
261219;"Boyardville_22/05/2016_12:15_Marion Carsac_2164";261220;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_148";"Boyardville";"12:15";7;;;5;0;;;;;"";
261221;"Ile Callot_22/05/2016_12:40_Ronan Moine_9060";261222;"Pays de Morlaix";"MORL_08";"Ile Callot";"12:40";8;7;1;8;0;;;;;"Conchyliculture | Promeneurs, joggeurs | Autres pêches de loisir";
261223;"îlot Saint-Anne_22/05/2016_13:15_Michaël Tanghe_8879";261224;"Pays de Morlaix";"MORL_07";"Ilot Sainte Anne";"01:15";39;37;2;37;0;;;;;"Promeneurs, joggeurs";
261227;"La Hume_22/05/2016_12:10_DM_10338";261228;"Bassin d'Arcachon";"BARC_07";"La Hume";"12:10";0;0;0;;;;;;;"";
261229;"Pointe du Chay_22/05/2016_11:35_Loeiza Lancelot_3937";261230;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_077";"Pointe du Chay";"11:35";2;;;;;;;;;"";
261241;"Les Boulassiers_23/05/2016_12:24_Jean-Baptiste Bonnin_2866";261242;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_113";"Les Boulassiers";"12:24";10;;;10;0;;;;;"";
