"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_29";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Commerce";"Mesure graduée (pied à coulisse ou réglet)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_30";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_31";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_32";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_33";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_34";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_35";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_36";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_4";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_5";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_6";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_7";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_8";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_28/09/2015_Franck Delisle+Léa Mie_9";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_30/03/2014_Antoine Hardy & Danielle Gianesello_1";;"Non";;"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Oui";"Artisanal";;;"Praire";"Oui";;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Port Lazo/Bilfot_30/03/2014_Franck Delisle_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Port Lazo/Bilfot_30/03/2014_Franck Delisle_2";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Commerce";"Mesure graduée (pied à coulisse ou réglet)";;;"Oui";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
