"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
430099;"2020-03-13-EGMP-FRE-001";430100;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_077";"Pointe du Chay";"11:15";3;3;0;0;3;0;"Non";;;"Conchyliculture | Promeneurs, joggeurs";
430129;"2020-03-11-EPMO-FRE-005";430130;"Estuaires Picards et Mer d'Opale";"EPMO_32";"Pointe aux oies";"09:00";2;2;0;2;0;0;"Pas de zone interdite";;;"";
430132;"2020-03-12-EPMO-FRE-002";430133;"Estuaires Picards et Mer d'Opale";"EPMO_27";"Le Portel";"08:00";13;13;0;13;0;0;"Pas de zone interdite";;;"";
430222;"2020-03-11-EPMO-FRE-006";430223;"Estuaires Picards et Mer d'Opale";"EPMO_39";"Wimereux";"09:00";0;0;0;0;0;0;"Non";;;"";
431046;"2020-02-24-GONB-FRE-003";431047;"Golfe Normand Breton";"GONB_08A2";"En face de la station balnéaire d'Agon-Coutainville";"15:00";6;;;6;;;"Non";;"Autre type";"";"Autre type : réserve scientifique"
431058;"2020-02-25-GONB-FRE-005";431059;"Golfe Normand Breton";"GONB_08A2";"En face de la station balnéaire d'Agon-Coutainville";"15:00";0;;;0;;;"Non";;"Autre type";"Conchyliculture";"Type : réserve scientifique"
431078;"2020-03-10-GONB-FRE-003";431079;"Golfe Normand Breton";"GONB_08A2";"En face de la station balnéaire d'Agon-Coutainville";"14:50";310;;;310;;;"Non";;"Autre type";"Conchyliculture";"Autre type : réserve scientifique"
431119;"2020-02-23-BERR-FRE-001";431120;"Etang de Berre";"BERR_01";"Jaï_Sud";"15:00";0;;;;;;"Non renseigné";;"Gisements fermés";"";
431121;"2020-02-23-BERR-FRE-003";431122;"Etang de Berre";"BERR_02";"Jaï_Centre";"15:15";0;;;;;;"Non renseigné";;"Gisements fermés";"";
431123;"2020-02-23-BERR-FRE-004";431124;"Etang de Berre";"BERR_03";"Jaï_Nord";"15:30";1;1;0;1;;;"Oui";1;"Gisements fermés";"";"Braco de loisir"
431286;"2020-02-11-ORNE-FRE-007";431287;"Côtes du Calvados";"ORNE_18";"Grandcamp-Maisy à Cricqueville-en-Bessin ouest";"17:00";16;;;11;;5;"Non";;;"Conchyliculture | Engins dormants (filets calés, casiers, palangres)";"
3 lignes de fond
6 pêcheurs de Coquilles 
6 pêcheurs de Homards (en tenue néoprène et équipements adéquats,gants,  crochets et paniers flottants)"
431289;"2020-03-08-ORNE-FRE-001";431293;"Côtes du Calvados";"ORNE_18";"Grandcamp-Maisy à Cricqueville-en-Bessin ouest";"15:40";48;;;;;;"Oui";6;"Sanitaire temporaire";"Conchyliculture | Promeneurs, joggeurs";"Coquille, Etrille, Bigorneau, 
Crochets et épuisettes"
431298;"2020-03-10-ORNE-FRE-004";431299;"Côtes du Calvados";"ORNE_06";"Hermanville Brèche à Ouistreham Ferry";"17:45";81;;;;;;"Oui";10;"Gisements fermés";"Promeneurs, joggeurs";"fermetures tous les coquillages sur Ouistreham"
431301;"2020-03-10-ORNE-FRE-005";431302;"Côtes du Calvados";"ORNE_05";"Luc Jetée à Hermanville Brèche";"17:00";81;;;81;;;"Non";;;"Promeneurs, joggeurs | Autres usages";"Chercheurs de métaux sur la plage
Fermé au Bouquet depuis le 1/03
Épuisettes et crochets
Haveneau 1"
431303;"2020-03-10-ORNE-FRE-006";431304;"Côtes du Calvados";"ORNE_04";"Saint-Aubin Est à Luc Jetée";"17:00";127;;;118;8;1;"Pas de zone interdite";;;"Promeneurs, joggeurs";
431305;"2020-03-10-ORNE-FRE-007";431307;"Côtes du Calvados";"ORNE_03";"Bernières-sur-Mer Est à Saint-Aubin-sur-Mer Est";"17:45";86;;;83;1;2;"Non";;;"Promeneurs, joggeurs | Autres pêches de loisir";"petite embarcation sur Essarts PAP"
431310;"2020-03-10-ORNE-FRE-008";431311;"Côtes du Calvados";"ORNE_02";"Courseulles-sur-Mer à Bernières-sur-Mer ouest";"17:25";76;;;;;;"Oui";2;"Gisements fermés";"Promeneurs, joggeurs | Equitation";"Pêcheurs pêche interdite Bouquet 2 ?"
431312;"2020-03-10-ORNE-FRE-009";431313;"Côtes du Calvados";"ORNE_01";"Ver ouest le Paisty Vert à Graye-sur-Mer";"17:10";37;;;35;;2;"Oui";1;"Gisements fermés";"Conchyliculture | Promeneurs, joggeurs";
431370;"2020-03-10-GONB-FRE-010";431371;"Golfe Normand Breton";"GONB_02C";"Pointe de la roche Pelée à Pointe du Moulinet";"14:30";65;;;;;;"Non renseigné";;;"";
431372;"2020-03-11-GONB-FRE-010";431373;"Golfe Normand Breton";"GONB_02F";"Remparts de Saint Malo au Fort National";"14:50";197;;;;;;"Non renseigné";;;"";
431399;"2020-03-11-GONB-FRE-012";431400;"Golfe Normand Breton";"GONB_02G";"Fort National à la Pointe de la Varde";"15:00";205;;;;;;"Non renseigné";;;"";
431401;"2020-03-11-GONB-FRE-013";431402;"Golfe Normand Breton";"GONB_02B";"Pointe du Décollé à la Pointe de la roche Pelée";"14:45";125;;;;;;"Non renseigné";;"";"";
431403;"2020-03-12-GONB-FRE-004";431404;"Golfe Normand Breton";"GONB_01B";"Pointe de Saint-Cast-le-guildo à la Pointe du Bay";"15:35";109;;;;;;"Non renseigné";;;"";
431405;"2020-03-10-GONB-FRE-012";431406;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:45";295;;;;;;"Non renseigné";;;"";
431407;"2020-03-09-GONB-FRE-005";431408;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:00";70;;;;;;"Non renseigné";;;"";
431411;"2020-03-11-GONB-FRE-014";431412;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"14:30";912;;;;;;"Non renseigné";;;"";
431413;"2020-03-12-GONB-FRE-006";431414;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"15:15";135;;;;;;"Non renseigné";;;"";
432190;"2020-03-11-EGMP-FRE-015";432191;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_098";"Bourcefranc/ Marennes";"11:00";3;3;0;3;;;"Non";;;"";
432376;"2020-03-11-EGMP-FRE-016";432377;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_140";"Manson";"11:00";10;10;0;10;0;0;"Non";;;"";
432381;"2020-03-11-EGMP-FRE-017";432385;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_141";"Les grosses vases d'Ade";"11:30";0;;;0;;;"Non";;;"";
432555;"2020-03-10-GONB-FRE-013";432556;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"16:30";0;;;;;;"Non renseigné";;;"";
433027;"2020-03-12-GONB-FRE-006";433028;"Golfe Normand Breton";"GONB_03E";"Cherrueix - Banc des hermelles";;14;;;;;;"Pas de zone interdite";;;"Engins motorisés terrestres";"3 tracteurs"
433029;"2020-03-14-GONB-FRE-001";433030;"Golfe Normand Breton";"GONB_02M";"Pointe du Grouin à la Pointe de la Chaine";;8;4;4;8;0;0;"Pas de zone interdite";;;"Promeneurs, joggeurs | Plagistes, baigneurs";
433031;"2020-02-06-GONB-FRE-001";433032;"Golfe Normand Breton";"GONB_03E";"Cherrueix - Banc des hermelles";;0;;;;;;"Non renseigné";;;"";"Visibilité très réduite à cause de la météo"
433033;"2019-07-25-GONB-FRE-002";433034;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"19:30";0;;;;;;"Non renseigné";;;"";
433035;"2019-07-30-GONB-FRE-005";433036;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"12:45";0;;;;;;"Non renseigné";;;"";
433037;"2019-10-15-GONB-FRE-002";433038;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"15:00";9;;;;;;"Non renseigné";;;"";
433039;"2019-10-28-GONB-FRE-004";433040;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"13:00";55;;;;;;"Non renseigné";;;"";
433041;"2019-10-29-GONB-FRE-016";433042;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"14:00";80;;;;;;"Non renseigné";;;"";
433043;"2019-10-30-GONB-FRE-006";433044;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"15:00";40;;;;;;"Non renseigné";;;"";
433045;"2020-01-06-GONB-FRE-002";433046;"Golfe Normand Breton";"GONB_01E";"La Charbotière à l'Islet (Baie de Lancieux)";"09:30";0;;;;;;"Non renseigné";;;"";
