"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
404132;"2019-08-02-EGMP-FRE-031";404133;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_014-015";"Pointes du Grouin du Cou et de la République";"EGMP_014";"Pointe du Grouin du Cou";;"total de pêcheurs à pied de loisir";330;;;"Plagistes, baigneurs";"Nombreux plagistes.
Sur les 330 personnes présentes sur le site, on peut estimer qu'il n'y avait qu'une centaine de pêcheurs. Les autres sont des familles en observation. 

Les pêcheurs de crabes habituels en ont trouvé très peu. Les pêcheurs d’huîtres étaient assez satisfaits de leur pêche, très raisonnable à ce que j'ai pu constater. Il semble qu'il y ai peu de crevettes bouquets."
404132;"2019-08-02-EGMP-FRE-031";404134;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_014-015";"Pointes du Grouin du Cou et de la République";"EGMP_015";"Pointe de la République";"11:40";"total de pêcheurs à pied de loisir";130;;;"Plagistes, baigneurs";"Nombreux plagistes.

La moitié des personnes présentes sur ce site sont des familles avec enfants. Ils sont sur l'estran plutôt pour observer ce qu'il s'y trouve que pour pêcher."
404140;"2019-08-02-EGMP-FRE-034";404141;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_019-020";"Sainte-Anne / Pointe du Rocher - Les Rouillières";"EGMP_019";"Pointe du Rocher";"12:30";"total de pêcheurs à pied de loisir";195;175;20;"";"Espèces pêchées: Crevettes et palourdes
Filet raclettes 3 dents"
404140;"2019-08-02-EGMP-FRE-034";404142;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_019-020";"Sainte-Anne / Pointe du Rocher - Les Rouillières";"EGMP_020";"Les Bouchots - Les Rouillères";"11:45";"total de pêcheurs à pied de loisir";213;;;"";
404172;"2018-09-07-GONB-FRE-019";404174;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra18";"Pointe du Puits";"15:05";"total de pêcheurs à pied de loisir";2;2;0;"";"2 fouisseurs avec râteaux"
404172;"2018-09-07-GONB-FRE-019";404173;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra13";"Le Valion";"15:05";"total de pêcheurs à pied de loisir";0;;;"";
404172;"2018-09-07-GONB-FRE-019";404175;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra12";"Val ès Bouillis";"15:05";"total de pêcheurs à pied de loisir";0;;;"";
404209;"2019-08-02-EGMP-FRE-035";404623;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";;"total de pêcheurs à pied de loisir";10;;;"";
404209;"2019-08-02-EGMP-FRE-035";404624;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_3";"Les Olives";;"total de pêcheurs à pied de loisir";20;;;"";
404209;"2019-08-02-EGMP-FRE-035";404622;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";;"total de pêcheurs à pied de loisir";64;;;"";
404220;"2019-08-02-EGMP-FRE-036";404628;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_2";"Plage Océane";;"total de pêcheurs à pied de loisir";0;;;"";
404220;"2019-08-02-EGMP-FRE-036";404627;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_1";"Maison de Grave";;"total de pêcheurs à pied de loisir";4;;;"";
404220;"2019-08-02-EGMP-FRE-036";404629;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_3";"Rocher de Saint-Nicolas";;"total de pêcheurs à pied de loisir";3;;;"";
404225;"2018-09-07-GONB-FRE-021";404229;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra21";"La Herviais";"15:10";"total de pêcheurs à pied de loisir";1;;;"";"1 pêcheur fouisseur (main)"
