"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_2";;;;;2;"Non";;;;"Etrille";;;;;;;;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_3";;;;;3;"Non";;;;"Praire";;;;;;;;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_4";;;;;3;"Non";;;;"Coques";;;;;;;;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_4";;;;;3;"Non";;;;"Etrille";;;;;;;;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_5";;;;;1;"Oui";;;
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_6";;;;;2;"Non";;;;"Praire";;;;;;;;;
"Arcouest_14/06/2014_Franck Delisle_1";;;;;1;"Non";;;;"Couteaux";;31;;;790.0;;;;
"Arcouest_14/06/2014_Franck Delisle_2";;;55;120;2;"Non";;;;"Crevettes";;5;;;;;;;
"Arcouest_14/06/2014_Jean-Pierre Guillosson_1";;;90;105;1;"Oui";;;
"Arcouest_14/06/2014_Jean-Pierre Guillosson_2";;;60;90;2;"Non";;;;"Etrille";227.88;2;;;227.88;;;;
"Arcouest_14/06/2014_Jean-Pierre Guillosson_2";;;60;90;2;"Non";;;;"Praire";334.56;12;;;334.56;;;;
"Arcouest_14/06/2014_Jean-Pierre Guillosson_3";;;30;120;3;"Non";;;;"Huître creuse";1.3043000000000002;10;;;1304.3000000000002;;;;
"Arcouest_14/06/2014_Jean-Pierre Guillosson_4";;;;;;"Oui";;;
"Arcouest_14/06/2014_Olivier Massard_1";;;15;60;1;"Non";;;;"Palourdes";19.39;1;;;19.39;;;;
"Arcouest_14/06/2014_Olivier Massard_1";;;15;60;1;"Non";;;;"Etrille";113.94;1;;;113.94;;;;
"Arcouest_14/06/2014_Olivier Massard_1";;;15;60;1;"Non";;;;"Praire";13.62;1;;;;;;;
"Arcouest_14/06/2014_Olivier Massard_1";;;15;60;1;"Non";;;;"Tourteau";;1;;;;;;;
"Arcouest_14/06/2014_Olivier Massard_2";;;60;75;1;"Non";;;;"Praire";2000.0;109;;;1000.0;;;;
"Arcouest_14/06/2014_Olivier Massard_3";;;;;;"Oui";;;
"Arcouest_14/06/2014_Olivier Massard_4";;;75;90;1;"Non";;;;"Etrille";113.94;1;;;113.94;;;;
"Arcouest_14/06/2014_Olivier Massard_5";;;;120;2;"Oui";;;
"Arcouest_14/06/2014_Olivier Massard_6";;;;60;1;"Oui";;;
"Arcouest_14/06/2014_Olivier Massard_7";;;;;;"Oui";;;
"Arcouest_17/05/2015_Jérémy Allain_11";;;;;3;"Non";;;;"Praire";;;;;;;;;
"Arcouest_17/05/2015_Jérémy Allain_12";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_17/05/2015_Jérémy Allain_13";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_17/05/2015_Jérémy Allain_14";;;;;2;"Oui";;;
"Arcouest_17/05/2015_Jérémy Allain_15";;;;;2;"Oui";;;
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_1";;;;;2;"Oui";;;
